s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,temp2_streetname,indzone,township,basiclvl,streetnames,name1,name2,,,,,
WAIAND,2009,WAI DICK ELECTRONIC AND TECHNOLOGY FACTORY,WAI DICK ELECTRONIC AND TECHNOLOGY FACTORY,NA,"NO. 8 DONGLOU ROAD, HENANAN TOWN, BINGTANG VILLAGE, ,",NA,NA,2012-07-07,"no. 8 donglou road, henanan town, bingtang village, ,",wai dick electronic and technology factory,wai dick electronic and technology factory,NA,NA,NA,8,donglou ,NA,henanan ,bingtang ,donglou ,wai dick electronic and technology ,wai dick    ,,,,,
WAIFAT,2009,WAI FAT PLASTIC FACTORY,WAI FAT PLASTIC FACTORY,-,"2 KAI PONG RD., PING SAN LUNG GONG,DISTRICT, ,",NA,NA,2002-07-09,"2 kai pong rd., ping san lung gong,district, ,",wai fat plastic factory,wai fat plastic factory,NA,NA,NA,2,kai pong ,NA,NA,NA,kai pong ,wai fat plastic ,wai fat  ,,,,,
WAIGUA,2009,"WAI SUM INDUSTRIAL (DONG GUAN) CO., LTD",NA,NA,NA,NA,NA,NA,NA,"wai sum industrial (dong guan) co., ltd",NA,NA,dong guan,NA,NA,NA,NA,NA,NA,NA,wai sum    ,wai sum    ,,,,,
WAIJUN,2009,WAI JUN CAFT & POLY MFT.,WAI JUN CAFT & POLY MFT.,-,"SA PU 1ST VILLAGE, SONG GANG TOWN, BAO AN DISTRICT, SHENZHEN CITY, GUANGDONG PROVINCE,",NA,NA,2008-05-04,"sa pu 1st village, song gang town, bao an district, shenzhen city, guangdong province,",wai jun caft & poly mft.,wai jun caft & poly mft.,guangdong,shenzhen,bao an,1,NA,NA,song gang ,st ,NA,wai jun caft  poly ,wai jun caft  poly ,,,,,
WAISTA,2009,"KO WAI STATIONERY & GIFTS (SZ) CO.,LTD.","KO WAI STATIONERY & GIFTS (SZ) CO.,LTD.",NA,"NO.54, WANG SHING ROAD, 1ST INDUSTRIAL ESTATE, YAN CHUEN, SONG GANG,",NA,NA,2007-02-09,"no.54, wang shing road, 1st industrial estate, yan chuen, song gang,","ko wai stationery & gifts (sz) co.,ltd.","ko wai stationery & gifts (sz) co.,ltd.",NA,NA,NA,"c(""54"", ""1"")",wang shing ,st ,NA,NA,wang shing ,ko wai stationery  gifts  ,ko wai     ,,,,,
WAKAPL,2009,WAH KA PLASTIC & METAL FACTORY,WAH KA PLASTIC & METAL FACTORY,NA,"HUAKAI INDUSTRIAL ZONE, WU LIAN, FENG GANG, ,",NA,NA,7/15/08,"huakai industrial zone, wu lian, feng gang, ,",wah ka plastic & metal factory,wah ka plastic & metal factory,NA,NA,NA,NA,NA,huakai ,NA,NA,NA,wah ka plastic  metal ,wah ka    ,,,,,
WALIDA,2009,"WAN LI DA GARMENT (SHENZHEN) CO., LTD","WANLIDAR GARMENT (SHENZHEN) CO., LTD",NA,"Liu Yue Xin Hua Sheng Industry Village, Bldg A2, Heng Gang Town, Long Gang District, Shenzhen, China,",NA,NA,2001-02-08,"liu yue xin hua sheng industry village, bldg a2, heng gang town, long gang district, shenzhen, china,","wan li da garment (shenzhen) co., ltd","wanlidar garment (shenzhen) co., ltd",NA,shenzhen,long gang,2,NA,NA,heng gang ,liu yue xin hua sheng industry ,NA,wan li da garment   ,wan li da    ,,,,,
WALTEX,2009,WALTEX MANUFACTORY,WALTEX MANUFACTORY,NA,"DAKAN MANAGEMENT AREA, HUANGJIANG TOWN, ,",NA,NA,10/18/04,"dakan management area, huangjiang town, ,",waltex manufactory,waltex manufactory,NA,NA,NA,NA,NA,NA,huangjiang ,NA,NA,waltex manufactory,waltex ,,,,,
WANCH1,2009,WAN JIANG MAIN LINK SILKFLOWERS FTY. (CHINA - H1),WAN JIANG MAIN LINK SILKFLOWERS FTY. (CHINA - H1),-,"WAN JIANG XIN HE GUAN LI QU, , ,",NA,NA,12/13/01,"wan jiang xin he guan li qu, , ,",wan jiang main link silkflowers fty. (china - h1),wan jiang main link silkflowers fty. (china - h1),NA,NA,NA,NA,NA,NA,NA,NA,NA,wan jiang main link silkflowers  ,wan jiang main link silkflowers  ,,,,,
WANDON,2009,WANFAT (DONGGUAN) HANDBAG FACTORY,NA,NA,NA,NA,NA,NA,NA,wanfat (dongguan) handbag factory,NA,NA,dongguan,dongguan,NA,NA,NA,NA,NA,NA,wanfat  handbag ,wanfat   ,,,,,
WANHAO,2009,"WAN HAO LUN FASHION (SHEN ZHEN) CO., LTD",NA,NA,NA,NA,NA,NA,NA,"wan hao lun fashion (shen zhen) co., ltd",NA,NA,shen zhen,NA,NA,NA,NA,NA,NA,NA,wan hao lun fashion   ,wan hao lun    ,,,,,
WANNON,2009,"DA WAN NON WOVEN SHOE MATERIAL CO., LTD","DA WAN NON WOVEN SHOE MATERIAL CO., LTD",-,"XIA BIAN INDUSTRIAL LIAOBU, DONGGUAN CITY, GUANGDONG PROVINCE, ,",NA,NA,6/16/09,"xia bian industrial liaobu, dongguan city, guangdong province, ,","da wan non woven shoe material co., ltd","da wan non woven shoe material co., ltd",guangdong,dongguan,dongguan,NA,NA,xia bian ,NA,NA,NA,da wan non woven shoe material  ,da wan non woven    ,,,,,
WANSEN,2009,WAN SEN WOODEN  HANDCRAFT FACTORY,WAN SEN WOODEN  HANDCRAFT FACTORY,NA,"NO.1 XINHUI YIJIE, XINGGUANG, VILLAGE, HUANGJIANG TOWN, DONGGUAN CITY, GUANGDONG,",Wooden Handcrafts,39,11/14/08,"no.1 xinhui yijie, xingguang, village, huangjiang town, dongguan city, guangdong,",wan sen wooden  handcraft factory,wan sen wooden  handcraft factory,guangdong,dongguan,dongguan,1,NA,NA,huangjiang ,NA,NA,wan sen wooden  handcraft ,wan sen    ,,,,,
WASCH1,2009,WAH SUN SILK FLOWER MANUFACTORY  (CHINA - H1),WAH SUN SILK FLOWER MANUFACTORY  (CHINA - H1),-,"NO. 21 SIN PIN ROAD, PINSHAN TOWN, HUI DONG, ,",NA,NA,12/13/01,"no. 21 sin pin road, pinshan town, hui dong, ,",wah sun silk flower manufactory  (china - h1),wah sun silk flower manufactory  (china - h1),NA,NA,NA,21,sin pin ,NA,pinshan ,NA,sin pin ,wah sun silk flower manufactory  ,wah sun     ,,,,,
WASHAB,2009,WAI SHENG ARTCRAFT (CHINA - H1),WAI SHENG ARTCRAFT (CHINA - H1),-,"LOUXIA PRECINCT, ZHENLONG TOWN, HUIYANG DISTRICT, ,",NA,NA,5/24/02,"louxia precinct, zhenlong town, huiyang district, ,",wai sheng artcraft (china - h1),wai sheng artcraft (china - h1),NA,NA,huiyang,NA,NA,NA,zhenlong ,NA,NA,wai sheng artcraft ,wai sheng  ,,,,,
WATEMA,2009,WAI TEC MANUFACTURING FACTORY LIMITED,WAI TEC MANUFACTURING FACTORY LIMITED,-,"3-1 XIN YUAN GONG YE QU, XIN MU, PING HU, LONG GANG DISTRIST, ,",NA,NA,2012-03-08,"3-1 xin yuan gong ye qu, xin mu, ping hu, long gang distrist, ,",wai tec manufacturing factory limited,wai tec manufacturing factory limited,NA,NA,NA,"c(""3"", ""1"")",NA,NA,NA,NA,NA,wai tec   ,wai tec   ,,,,,
WATOCO,2009,"WANXINGFA TOYS CO., LTD.","WANXINGFA TOYS CO., LTD.",-,"NO.4 NINTH DISTRICT, ANPING DEVELOPING DISTRICT, ,",NA,NA,2011-05-07,"no.4 ninth district, anping developing district, ,","wanxingfa toys co., ltd.","wanxingfa toys co., ltd.",NA,NA,NA,4,NA,NA,NA,NA,NA,wanxingfa toys  ,wanxingfa   ,,,,,
WAYGUI,2009,"WAY GUIDE DAILY USE MANUFACTORY CO.,TLD","WAY GUIDE DAILY USE MANUFACTORY CO.,TLD",-,"THE FIRST INDUSTRICT, SHALANG TOWN, ZHONGSHAN CITY, GUANGDONG PROVINCE,",NA,NA,9/16/09,"the first industrict, shalang town, zhongshan city, guangdong province,","way guide daily use manufactory co.,tld","way guide daily use manufactory co.,tld",guangdong,zhongshan,zhongshan,NA,NA,NA,shalang ,NA,NA,way guide daily use manufactory tld,way guide daily use  tld,,,,,
WDLART,2009,WDL ARTS & CRAFTS CO. LTD,WDL ARTS & CRAFTS CO. LTD,-,"YUTING ROAD, CHENGHUA INDUSTRIAL ESTATE, CHENG HAI, SHANTOU CITY, GUANGDONG,",NA,NA,4/25/07,"yuting road, chenghua industrial estate, cheng hai, shantou city, guangdong,",wdl arts & crafts co. ltd,wdl arts & crafts co. ltd,guangdong,shantou,cheng hai,NA,yuting ,chenghua ,NA,NA,yuting ,wdl arts  crafts  ,wdl     ,,,,,
WEACH1,2009,DONG GUAN WEA BOR HARDWARE & PLASTICS PRODUCTS CO LTD,DONG GUAN WEA BOR HARDWARE & PLASTICS PRODUCTS CO LTD,-,"NO.8 DALONG ROAD, SHIGU INDUSTRIAL ZONE, NANCHENG DISTRICT, ,",NA,NA,4/16/02,"no.8 dalong road, shigu industrial zone, nancheng district, ,",dong guan wea bor hardware & plastics products co ltd,dong guan wea bor hardware & plastics products co ltd,NA,dong guan,NA,8,dalong ,shigu ,NA,NA,dalong ,dong guan wea bor hardware  plastics   , wea bor      ,,,,,
WEACHI,2009,WEALTHWISE INDUSTRIAL LIMITED,DONG GUAN DA LANG WEALTHWISE PLASTIC FACTORY,-,"Wealthwise Industrial Centre,Song Mu Shan, Da Lang Town, Dong Guan City, Guang Dong Province, China.,",NA,NA,2008-01-02,"wealthwise industrial centre,song mu shan, da lang town, dong guan city, guang dong province, china.,",wealthwise industrial limited,dong guan da lang wealthwise plastic factory,guang dong,dong guan,NA,NA,NA,wealthwise ,da lang ,NA,NA,wealthwise  ,wealthwise  ,,,,,
WEATOY,2009,WEALTH TOYS FACTORY,WEALTH TOYS FACTORY,-,"NO.395 JINHU ROAD, LIWU ADMINISTRATION ZONE, QIAOTOU TOWN, ,",NA,NA,3/16/04,"no.395 jinhu road, liwu administration zone, qiaotou town, ,",wealth toys factory,wealth toys factory,NA,NA,NA,395,jinhu ,NA,qiaotou ,NA,jinhu ,wealth toys ,wealth  ,,,,,
WECHSH,2009,WENZHOU CHANGFAXIANG SHOES LTD.,WENZHOU CHANGFAXIANG SHOES LTD.,NA,"NO. 16 SECTION OF THE SECOND PERIOD, OF THE CHINA SHOES INDUSTRIAL PARK, WENZHOU ZHEJIANG,",NA,NA,10/14/09,"no. 16 section of the second period, of the china shoes industrial park, wenzhou zhejiang,",wenzhou changfaxiang shoes ltd.,wenzhou changfaxiang shoes ltd.,zhejiang,wenzhou,NA,16,NA,of the china shoes ,NA,NA,NA,wenzhou changfaxiang shoes , changfaxiang  ,,,,,
WEDITE,2009,WEIHAI DICHANG TEXTILE CLOTHING CO LTD BRANCH KNITTING CO,WEIHAI DICHANG TEXTILE CLOTHING CO LTD BRANCH KNITTING CO,NA,"NO.56, DANDONG ROAD, WEIHAI CITY;Shandong Province, China, ,",NA,NA,5/20/09,"no.56, dandong road, weihai city;shandong province, china, ,",weihai dichang textile clothing co ltd branch knitting co,weihai dichang textile clothing co ltd branch knitting co,shandong,weihai,NA,56,dandong ,NA,NA,NA,dandong ,weihai dichang textile clothing   branch knitting , dichang     branch  ,,,,,
WEDOAR,2009,"WELLMAKER(DONGGUAN)ARTS & CRAFTS CO.,LTD","WELLMAKER(DONGGUAN)ARTS & CRAFTS CO.,LTD",-,"BIHUA ROAD, SONGBAITANG VILLAGE, CHANGPING TOWN, ,",NA,NA,8/24/09,"bihua road, songbaitang village, changping town, ,","wellmaker(dongguan)arts & crafts co.,ltd","wellmaker(dongguan)arts & crafts co.,ltd",NA,dongguan,dongguan,NA,bihua ,NA,changping ,songbaitang ,bihua ,wellmakerarts  crafts ,wellmakerarts   ,,,,,
WEDOGA,2009,"WEIHAI DONGQUAN GARMENT CO.,LTD","WEIHAI E-SHOW IMP&EXP.CO.,LTD",NA,"Liujiatai Village, Wenquan Town, Huancui District, Weihai City, Shandong Province,China, ,",NA,NA,2007-01-08,"liujiatai village, wenquan town, huancui district, weihai city, shandong province,china, ,","weihai dongquan garment co.,ltd","weihai e-show imp&exp.co.,ltd",shandong,weihai,huancui,NA,NA,NA,wenquan ,liujiatai ,NA,weihai dongquan garment , dongquan  ,,,,,
WEGAFT,2009,WEILIDA GARMENT FACTORY,GUANG ZHOU PANYU WEILIDA GARMENT CO.LTD.,NA,"1-4/F, BLOCK ONE, SHIGANG EAST VILLAGE IND. ZONE, SHIJI TOWN, PANYU DISTRICT, ,",NA,NA,2004-07-03,"1-4/f, block one, shigang east village ind. zone, shiji town, panyu district, ,",weilida garment factory,guang zhou panyu weilida garment co.ltd.,NA,guang zhou,NA,"c(""1"", ""4"")",NA,NA,shiji ,shigang east ,NA,weilida garment ,weilida  ,,,,,
WEGAFT,2009,GUANG ZHOU PANYU WEILIDA GARMENT CO.LTD.,GUANG ZHOU PANYU WEILIDA GARMENT CO.LTD.,NA,"1-4/F, BLOCK ONE, SHIGANG EAST VILLAGE IND. ZONE, SHIJI TOWN, PANYU DISTRICT, ,","Knitwear, woven garments",780,2004-07-03,"1-4/f, block one, shigang east village ind. zone, shiji town, panyu district, ,",guang zhou panyu weilida garment co.ltd.,guang zhou panyu weilida garment co.ltd.,NA,guang zhou,NA,"c(""1"", ""4"")",NA,NA,shiji ,shigang east ,NA,guang zhou panyu weilida garment , panyu weilida  ,,,,,
WEHOFA,2009,WEI HONG FASHION CO. LTD,WEI HONG FASHION CO. LTD,NA,"NO.8, SHUICHANG 2ND ROAD, SHUIKOU VILLAGE, DALANG, ,",NA,NA,2004-07-09,"no.8, shuichang 2nd road, shuikou village, dalang, ,",wei hong fashion co. ltd,wei hong fashion co. ltd,NA,NA,NA,"c(""8"", ""2"")",nd ,NA,NA,shuikou ,nd ,wei hong fashion  ,wei hong   ,,,,,
WEHUPE,2009,WENZHOU HUASHENG PEN INDUSTRY CO.LTD.,WENZHOU HUASHENG PEN INDUSTRY CO.LTD.,NA,"NO.87 XINGGUO RD., AGRICULTURAL DEVELOPMENT ZONE, ,",NA,NA,4/27/09,"no.87 xingguo rd., agricultural development zone, ,",wenzhou huasheng pen industry co.ltd.,wenzhou huasheng pen industry co.ltd.,NA,wenzhou,NA,87,xingguo ,NA,NA,NA,xingguo ,wenzhou huasheng pen  , huasheng pen  ,,,,,
WEICS1,2009,"WEIHAI JUNLI GARMENT CO., LTD  (CHINA - S1)","WEIHAI JUNLI GARMENT CO., LTD  (CHINA - S1)",NA,"LIUJIATAI VILLAGE, WENQUAN TOWN, HUANCUI DISTRICT, WEIHAI CITY, SHANDONG PROVINCE, CHINA",NA,NA,5/27/05,"liujiatai village, wenquan town, huancui district, weihai city, shandong province, china","weihai junli garment co., ltd  (china - s1)","weihai junli garment co., ltd  (china - s1)",shandong,weihai,huancui,NA,NA,NA,wenquan ,liujiatai ,NA,weihai junli garment    , junli     ,,,,,
WEIDIC,2009,"WEIHAI DICHANG TEXTILE CLOTHING CO., LTD","WEIHAI DICHANG TEXTILE CLOTHING CO., LTD","WEI HAI DICHANG TEXTILE CLOTHING CO., LTD","No.56, Dandong Road, Weihai City, , ,",NA,NA,3/19/09,"no.56, dandong road, weihai city, , ,","weihai dichang textile clothing co., ltd","weihai dichang textile clothing co., ltd",NA,weihai,NA,56,dandong ,NA,NA,NA,dandong ,weihai dichang textile clothing  , dichang    ,,,,,
WEIGIF,2009,LI WEI HANDCRAFT GIFT FACTORY,LI WEI HANDCRAFT GIFT FACTORY,-,"HONG BEILING VILLGE, BO GANG DISTRICT, XIAO JIN KOU, ,",NA,NA,2003-06-06,"hong beiling villge, bo gang district, xiao jin kou, ,",li wei handcraft gift factory,li wei handcraft gift factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,li wei handcraft gift ,li wei   ,,,,,
WEIGLA,2009,WEI YUAN GLASS PRODUCTS FACTORY,WEI YUAN GLASS PRODUCTS FACTORY,-,"YAN HU ROAD, BAI SHI VILLAGE, QIU CHANG TOWN, HUI YANG DISTRICT, ,",NA,NA,3/28/09,"yan hu road, bai shi village, qiu chang town, hui yang district, ,",wei yuan glass products factory,wei yuan glass products factory,NA,NA,NA,NA,yan hu ,NA,qiu chang ,bai shi ,yan hu ,wei yuan glass  ,wei yuan   ,,,,,
WEILIF,2009,"WEIHAI LIFENG TEXTILE CO.,LTD",WENDENG WONDER DRAWNWORK CO. LTD,威海利丰纺织品有限公司,"NO.2 BUILDING, NO.42 JIA, KUNYUBEI ROAD, WENDENG CITY, ,",NA,NA,2/27/08,"no.2 building, no.42 jia, kunyubei road, wendeng city, ,","weihai lifeng textile co.,ltd",wendeng wonder drawnwork co. ltd,NA,weihai,wendeng,"c(""2"", ""42"")",kunyubei ,NA,NA,NA,kunyubei ,weihai lifeng textile , lifeng  ,,,,,
WEILTD,2009,"WEIFANG KAIMAX CO., LTD.","WEIFANG KAIMAX CO., LTD.",NA,"163 WOLONG EAST STREET, WEIFANG, SHANDONG, CHINA,",NA,NA,2/21/01,"163 wolong east street, weifang, shandong, china,","weifang kaimax co., ltd.","weifang kaimax co., ltd.",shandong,weifang,NA,163,wolong east ,NA,NA,NA,wolong east ,weifang kaimax  , kaimax  ,,,,,
WEIPLA,2009,WEIFA PLASTIC WARE MANUFACTORY,WEIFA PLASTIC WARE MANUFACTORY,-,"YA KOU NAN LANG TOWN, , ,",NA,NA,2005-07-04,"ya kou nan lang town, , ,",weifa plastic ware manufactory,weifa plastic ware manufactory,NA,NA,NA,NA,NA,NA,ya kou nan lang ,NA,NA,weifa plastic ware manufactory,weifa   ,,,,,
WEISEL,2009,"WEIHAI SELECT GARMENT CO.,LTD.","WEIHAI SELECT GARMENT CO.,LTD.",NA,"No. 152, Fenglin Road, Economy & Technology, Development Zon, ,",NA,NA,1/22/08,"no. 152, fenglin road, economy & technology, development zon, ,","weihai select garment co.,ltd.","weihai select garment co.,ltd.",NA,weihai,NA,152,fenglin ,NA,NA,NA,fenglin ,weihai select garment , select  ,,,,,
WEISHI,2009,WEI SHIN FITTING PRODUCTS OF CLOTH FACTORY,WEI SHIN FITTING PRODUCTS OF CLOTH FACTORY,惟新服装配件制品厂,"40 METER RD., SHIWAN BIG ROAD, SHIWAN TOWN, BOLUO COUNTY, ,",NA,NA,9/19/05,"40 meter rd., shiwan big road, shiwan town, boluo county, ,",wei shin fitting products of cloth factory,wei shin fitting products of cloth factory,NA,NA,boluo,40,"c(""meter "", ""shiwan big "")",NA,shiwan ,NA,"c(""meter "", ""shiwan big "")",wei shin fitting  of cloth ,wei shin fitting   cloth ,,,,,
WELEFF,2009,WELL EFFORT MANUFACTORY (HK) LTD.,WELL EFFORT MANUFACTORY (HK) LTD.,-,"WEN MING ROAD, QIAO TAO TOWN, , ,",NA,NA,2003-03-06,"wen ming road, qiao tao town, , ,",well effort manufactory (hk) ltd.,well effort manufactory (hk) ltd.,NA,NA,NA,NA,wen ming ,NA,qiao tao ,NA,wen ming ,well effort manufactory  ,well effort   ,,,,,
WELFOR,2009,WELL-FORTUNE KNITTING FACTORY,WELL FORTUNE KNITTING CO LTD,NA,"LI CUN MGMT AREA, XIE GANG TOWN, , ,",NA,NA,2011-05-04,"li cun mgmt area, xie gang town, , ,",well-fortune knitting factory,well fortune knitting co ltd,NA,NA,NA,NA,NA,NA,xie gang ,NA,NA,wellfortune knitting ,wellfortune  ,,,,,
WELLIG,2009,DONGGUAN CITY HUA HUI GARMENT FACTORY,DONGGUAN CITY HUA HUI GARMENT FACTORY,NA,"LUO SHA INDUSTRIAL DISTRICT, XUE YUAN RD,GUANCHENG DISTRICT, ,",NA,NA,2003-12-04,"luo sha industrial district, xue yuan rd,guancheng district, ,",dongguan city hua hui garment factory,dongguan city hua hui garment factory,NA,dongguan,dongguan,NA,xue yuan ,luo sha ,NA,NA,xue yuan ,dongguan  hua hui garment ,  hua hui  ,,,,,
WELMUL,2009,WELLFIT INDUSTRIAL (GROUP) CORP,WELLFIT INDUSTRIAL (GROUP) CORP,NA,"NO. 9 SECTION, NUO HUO INDUSTRIAL DISTRICT, YANGDONG, ,",NA,NA,12/23/03,"no. 9 section, nuo huo industrial district, yangdong, ,",wellfit industrial (group) corp,wellfit industrial (group) corp,NA,NA,yangdong,9,NA,nuo huo ,NA,NA,NA,wellfit   ,wellfit   ,,,,,
WELOZH,2009,WENZHOU LONGWAN ZHONGLI SHOES FACTORY,NA,NA,NA,NA,NA,NA,NA,wenzhou longwan zhongli shoes factory,NA,NA,wenzhou,longwan,NA,NA,NA,NA,NA,NA,wenzhou longwan zhongli shoes , longwan zhongli  ,,,,,
WELUXI,2009,"WENZHOU LUCHENG XINXING INDUSTRY CO., LTD.","WENZHOU LUCHENG XINXING INDUSTRY CO., LTD.",NA,"NO. 38 OF SHENGFA ROAD, LUCHENG  INDUSTRY ZONE, WENZHOU CITY, ZHEJIANG PROVINCE, CHINA,",NA,NA,9/29/08,"no. 38 of shengfa road, lucheng  industry zone, wenzhou city, zhejiang province, china,","wenzhou lucheng xinxing industry co., ltd.","wenzhou lucheng xinxing industry co., ltd.",zhejiang,wenzhou,lucheng,38,of shengfa ,NA,NA,NA,shengfa ,wenzhou lucheng xinxing   , lucheng xinxing   ,,,,,
WENAIH,2009,WENZHOU AIHAO PEN TRADE CO. LTD,WENZHOU AIHAO PEN TRADE CO. LTD,NA,"YUTIAN SMALL AREA, LONGWAN ECONOMIC & TECHNICAL DEVELOPMENT ZONE, ,",NA,NA,2/14/05,"yutian small area, longwan economic & technical development zone, ,",wenzhou aihao pen trade co. ltd,wenzhou aihao pen trade co. ltd,NA,wenzhou,longwan,NA,NA,NA,NA,NA,NA,wenzhou aihao pen trade  , aihao pen   ,,,,,
WENALI,2009,"WENZHOU ALIMAO SHOES CO., LTD","WENZHOU ALIMAO SHOES CO., LTD",NA,"NO.135 FEIYUNJIANG ROAD, ECONOMIC AND TECHNICAL DEVELOPMENT, DISTRICT, WENZHOU, CHIAN",NA,NA,2/19/09,"no.135 feiyunjiang road, economic and technical development, district, wenzhou, chian","wenzhou alimao shoes co., ltd","wenzhou alimao shoes co., ltd",NA,wenzhou,NA,135,feiyunjiang ,NA,NA,NA,feiyunjiang ,wenzhou alimao shoes  , alimao   ,,,,,
WENCH1,2009,WENHAI GLASSWARE FACTORY (CHINA - H1),WENHAI GLASSWARE FACTORY (CHINA - H1),NA,"SONG DIAN RD, WENXI COUNTRY, YUNCHENG CITY, SHANXI PRO.CHINA",NA,NA,2005-06-09,"song dian rd, wenxi country, yuncheng city, shanxi pro.china",wenhai glassware factory (china - h1),wenhai glassware factory (china - h1),shanxi,yuncheng,wenxi,NA,song dian ,NA,NA,NA,song dian ,wenhai glassware  ,wenhai   ,,,,,
WENFAT,2009,ZHONGTANG WENFAT GARMENT FACTORY DONGGUAN CITY,WENFAT GARMENT LIMITED DONGGUAN CITY,-,"ZHANCUI PRECINCT, ZHONGTANG TOWN, , ,",NA,NA,10/15/99,"zhancui precinct, zhongtang town, , ,",zhongtang wenfat garment factory dongguan city,wenfat garment limited dongguan city,NA,dongguan,dongguan,NA,NA,NA,zhongtang ,NA,NA,zhongtang wenfat garment  dongguan ,zhongtang wenfat    ,,,,,
WENJIM,2009,"WENZHOU JIMEI STAINLESS STEEL MANUFACTURE CO., LTD.","WENZHOU JIMEI STAINLESS STEEL MANUFACTURE CO., LTD.",NA,"NO.3, FUDEBAO ROAD, GAOXIANG INDUSTRIAL PARK, WENZHOU CITY, ZHEJIANG PROVINCE, CHINA, ,",NA,NA,1/15/04,"no.3, fudebao road, gaoxiang industrial park, wenzhou city, zhejiang province, china, ,","wenzhou jimei stainless steel manufacture co., ltd.","wenzhou jimei stainless steel manufacture co., ltd.",zhejiang,wenzhou,NA,3,fudebao ,gaoxiang ,NA,NA,fudebao ,wenzhou jimei stainless steel manufacture  , jimei     ,,,,,
WENLIY,2009,"WENDENG  LIYI  TEXTILE CO., LTD","WENDENG  LIYI  TEXTILE CO., LTD",NA,"No.11-1, Xiangshan North Road, Wendeng City, Weihai City, ,",NA,NA,2/19/09,"no.11-1, xiangshan north road, wendeng city, weihai city, ,","wendeng  liyi  textile co., ltd","wendeng  liyi  textile co., ltd",NA,weihai,wendeng,"c(""11"", ""1"")",xiangshan north ,NA,NA,NA,xiangshan north ,wendeng  liyi  textile  ,  liyi    ,,,,,
WENORN,2009,"WENDENG XINFU ORNAMENT CO.,LTD.",NA,NA,NA,NA,NA,NA,NA,"wendeng xinfu ornament co.,ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wendeng xinfu ornament ,wendeng xinfu  ,,,,,
WENPET,2009,"WENZHOU YUANFEI PET TOY PRODUCTS CO., LTD","WENZHOU YUANFEI PET TOY PRODUCTS CO., LTD",NA,"NO. 294-296, JINGCHUAN RD, SHUITOU TOWN, PINGYANG, , ,",NA,NA,2009-10-08,"no. 294-296, jingchuan rd, shuitou town, pingyang, , ,","wenzhou yuanfei pet toy products co., ltd","wenzhou yuanfei pet toy products co., ltd",NA,wenzhou,pingyang,"c(""294"", ""296"")",jingchuan ,NA,shuitou ,NA,jingchuan ,wenzhou yuanfei pet toy   , yuanfei     ,,,,,
WENPUF,2009,"WENZHOU PUFEI SHOES CO., LTD",NA,NA,NA,NA,NA,NA,NA,"wenzhou pufei shoes co., ltd",NA,NA,wenzhou,NA,NA,NA,NA,NA,NA,NA,wenzhou pufei shoes  , pufei   ,,,,,
WENRUI,2009,WENZHOU RUI'AN SHUNFA BAMBOO&WOOD ARTS & CRAFTS FACTORY,NA,NA,NA,Wooden kitchen tableware,40,NA,NA,wenzhou rui'an shunfa bamboo&wood arts & crafts factory,NA,NA,wenzhou,NA,NA,NA,NA,NA,NA,NA,wenzhou ruian shunfa bamboowood arts  crafts , ruian shunfa bamboowood    ,,,,,
WENSUN,2009,"WENZHOU SUN STATIONERY CO., LTD","WENZHOU SUN STATIONERY CO., LTD",NA,"No.268, Road Wei 17, Economic Development Zone, Yueqing, Zhejiang Province, ,",NA,NA,2006-02-08,"no.268, road wei 17, economic development zone, yueqing, zhejiang province, ,","wenzhou sun stationery co., ltd","wenzhou sun stationery co., ltd",zhejiang,wenzhou,NA,"c(""268"", ""17"")",NA,NA,NA,NA,NA,wenzhou sun stationery  , sun   ,,,,,
WENTEX,2009,"WENDENG CITY CHANGDA TEXTILE CO.,LTD","WENDENG CITY CHANGDA TEXTILE CO.,LTD",NA,"THE NORTH OF THE NO.235 OF THE WEST END OF, MISHAN ROAD, XIOUWAN COMMUNITY, HUANSHAN STREET, Wendeng City, Weihai City, Shandong Province,",NA,NA,2007-09-08,"the north of the no.235 of the west end of, mishan road, xiouwan community, huanshan street, wendeng city, weihai city, shandong province,","wendeng city changda textile co.,ltd","wendeng city changda textile co.,ltd",shandong,weihai,wendeng,235,"c(""mishan "", ""huanshan "")",NA,NA,NA,"c(""mishan "", ""huanshan "")",wendeng  changda textile ,  changda  ,,,,,
WENTIA,2009,"WENZHOU TIANJIAO PEN INDUSTRIAL CO., LTD",NA,NA,NA,NA,NA,NA,NA,"wenzhou tianjiao pen industrial co., ltd",NA,NA,wenzhou,NA,NA,NA,NA,NA,NA,NA,wenzhou tianjiao pen   , tianjiao pen   ,,,,,
WENYAT,2009,WENZHOU YATONG STATIONERY & GIFT CO. LTD,WENZHOU YATONG STATIONERY & GIFT CO. LTD,NA,"18, EAST INDUSTRIAL ZONE, QIANKU, CANGNAN, ,",NA,NA,2006-04-08,"18, east industrial zone, qianku, cangnan, ,",wenzhou yatong stationery & gift co. ltd,wenzhou yatong stationery & gift co. ltd,NA,wenzhou,cangnan,18,NA,east ,NA,NA,NA,wenzhou yatong stationery  gift  , yatong     ,,,,,
