s_fcode,audityr,ftyname1,ftyname2,ftylocalname,ftyaddr,products,employees,ordersince,ftyaddrlow,ftynamelow1,ftynamelow2,province,prefecture,county,streetnumbers,indzone,township,basiclvl,streetnames,name1,name2,matched_names,matched_addr,matched_countycode,Match Accuracy,Notes
SHYACH,2009,SHEN YANG CHANG HAO GLASSWARE CO. LTD.,NA,NA,NA,NA,NA,NA,NA,shen yang chang hao glassware co. ltd.,NA,liaoning,shenyang,NA,NA,NA,NA,NA,NA,shen yang chang hao glassware,changhao,沈阳市昌昊玻璃制品有限公司,法哈牛村,2.1e+11,L,
SMACHO,2009,"SMART SHIRTS GARMENTS MANUFACTURING ( CHONGQING ) CO., LTD.","SMART SHIRTS GARMENTS MANUFACTURING ( CHONGQING ) CO., LTD.",NA,"NO. 188 TONG JIANG STREET, CHA YUAN INDUSTRIAL PARK, NANAN DISTRICT, CHONGQING CHINA",NA,NA,6/24/09,"no. 188 tong jiang street, cha yuan industrial park, nanan district, chongqing china","smart shirts garments manufacturing ( chongqing ) co., ltd.","smart shirts garments manufacturing ( chongqing ) co., ltd.",chongqing,chongqing,nanan,188,chayuan,NA,NA,tongjiang,smart shirts garments,smart,重庆雅戈尔服饰有限公司,茶园新域通江大道188号,5e+11,T,
TOLIGA,2009,"TONGLING JI QI GARMENT CO., LTD","TONGLING JI QI GARMENT CO., LTD",NA,"NO. 2 BUILDING 19, 951# OF TAI SHAN RD, , ,",NA,NA,4/19/06,"no. 2 building 19, 951# of tai shan rd, , ,","tongling ji qi garment co., ltd","tongling ji qi garment co., ltd",anhui,tongling,NA,951,NA,NA,NA,taishan,tongling ji qi garment,jiqi,铜陵绩琦服装有限责任公司,开发区,3.41e+11,L,
TONMEI,2009,TONGLING MEIBANG GARMENT  FACTORY COMPANY LTD,TONGLING MEIBANG GARMENT  FACTORY COMPANY LTD,NA,"TAISHAN ROAD,TONGLING ECONOMIC & TECHNOLOGICAL, DEVELOPMENT ZONE, ,",Ladies' garments,200,10/18/06,"taishan road,tongling economic & technological, development zone, ,",tongling meibang garment  factory company ltd,tongling meibang garment  factory company ltd,anhui,tongling,NA,NA,NA,NA,NA,taishan,tongling meibang garment,meibang,铜陵美邦时装制衣有限公司,开发区,3.41e+11,L,
WENCH1,2009,WENHAI GLASSWARE FACTORY (CHINA - H1),WENHAI GLASSWARE FACTORY (CHINA - H1),NA,"SONG DIAN RD, WENXI COUNTRY, YUNCHENG CITY, SHANXI PRO.CHINA",NA,NA,2005-06-09,"song dian rd, wenxi country, yuncheng city, shanxi pro.china",wenhai glassware factory (china - h1),wenhai glassware factory (china - h1),shanxi,yuncheng,wenxi,NA,NA,NA,NA,songdian,wenhai glassware,wenhai,闻喜县闻海玻璃器四有限公司,宋店村,1.41e+11,T,Cautious
YICRIC,2009,YICHANG RICHART GARMENT FACTORY LIMITED,YICHANG RICHART GARMENT FACTORY LIMITED,NA,"NO#3 LIJIAHU ROAD YICHANG CITY, , ,",NA,NA,8/13/08,"no#3 lijiahu road yichang city, , ,",yichang richart garment factory limited,yichang richart garment factory limited,hubei,yichang,NA,3,NA,NA,NA,lijiahu,yichang richart garment,richart,宜昌富艺制衣有限公司,李家湖路3号,4.21E+11,T,MM: http://lpcolin.diytrade.com/
YINDAW,2009,YINGKOU DAWEI CLOTHING CO LTD,YINGKOU DAWEI CLOTHING CO LTD,NA,"ERDAOGOU VILLAGE, ERDAO TOWN LAOBIAN DISTRICT, YINGKOU CITY, LIAONING PROVINCE, ,",NA,NA,2/16/09,"erdaogou village, erdao town laobian district, yingkou city, liaoning province, ,",yingkou dawei clothing co ltd,yingkou dawei clothing co ltd,liaoning,yingkou,laobian,NA,NA,erdao,erdaogou,NA,yingkou dawei clothing,dawei,营口大维制衣有限公司,沿海街道,2.11e+11,T,
BAICLO,2009,BAIHE CLOTHING INDUSTRIAL CO. LTD.,BAIHE CLOTHING INDUSTRIAL CO. LTD.,NA,"NO.3168, WAI QING SONG ROAD, QING PU DISTRICT, , ,",NA,NA,2012-04-08,"no.3168, wai qing song road, qing pu district, , ,",baihe clothing industrial co. ltd.,baihe clothing industrial co. ltd.,NA,NA,NA,3168,NA,NA,NA,waiqingsong,baihe clothing,baihe,东方国际创业白鹤服装实业有限公司,上海青浦县白鹤镇外青松公路3168号,3.10E+11,T,
BAIPLA,2009,BAIYANG PLASTIC IND. CO.,BAIYANG PLASTIC IND. CO.,-,"TIANXIN VILLAGE, SHIYIAN TOWN, BAO, AN DISTRICT, ,",NA,NA,2003-10-04,"tianxin village, shiyian town, bao, an district, ,",baiyang plastic ind. co.,baiyang plastic ind. co.,NA,NA,NA,NA,NA,shiyian,tianxin,NA,baiyang plastic,baiyang,百阳塑胶制品(深圳)有限公司,上屋居委田心村,4.40E+11,T,
DAPCHI,2009,"DAPAI (CHINA) BAGS CO., LTD.",NA,NA,NA,Bags/ backpacks / suitcase,700,NA,NA,"dapai (china) bags co., ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,dapai  bags,dapai,达派(中国)箱包有限公司,南洲,3.51e+11,L,
DEBPLA,2009,DEBAO PLASTIC FACTORY,DEBAO PLASTIC FACTORY,-,"NO 1 INDUSTIRAL AREA CAIBAI, DAOJIAO TOWN, ,",NA,NA,9/26/08,"no 1 industiral area caibai, daojiao town, ,",debao plastic factory,debao plastic factory,NA,NA,NA,1,NA,daojiao,NA,NA,debao plastic,debao,东莞得宝塑胶厂,蔡白村艺出公司工业区,4.42E+11,T,
FEITOY,2009,"FEIMA TOY CO., LTD(CHINA-1)","FEIMA TOY CO., LTD(CHINA-1)",-,"HEUGIN INDUSTRY CHENHAI, , ,",NA,NA,6/16/09,"heugin industry chenhai, , ,","feima toy co., ltd(china-1)","feima toy co., ltd(china-1)",NA,NA,NA,NA,NA,NA,NA,NA,feima toy,feima,汕头市澄海区新飞马玩具有限公司,龙田玉潭路西,4.41e+11,T,Cautious
FENCOM,2009,FENGYUAN TOYS INDUSTRY&COMMERCE CO. LTD,FENGYUAN TOYS INDUSTRY&COMMERCE CO. LTD,-,"GUANGFENG LID.AREA, DENGFENG ROAD, GUANGYI STREET,",NA,NA,4/24/07,"guangfeng lid.area, dengfeng road, guangyi street,",fengyuan toys industry&commerce co. ltd,fengyuan toys industry&commerce co. ltd,NA,NA,NA,NA,NA,NA,NA,"c(""dengfeng"",""guangyi"")",fengyuan toys commerce,fengyuan,汕头市澄海区锋源玩具实业有限公司,登峰路广峰工业区,4.41e+11,T,
FENJIE,2009,"FENG JIE LEATHER CO., LTD.","FENG JIE LEATHER CO., LTD.",-,"NO 6 INDUSTRIAL AREA, NAN LANG TOWN, ,",NA,NA,2006-10-09,"no 6 industrial area, nan lang town, ,","feng jie leather co., ltd.","feng jie leather co., ltd.",NA,NA,NA,6,NA,nan lang,NA,NA,feng jie leather,fengjie,中山锋杰皮具有限公司,第六工业区,4.42e+11,T,
GANTAI,2009,GANG TAI GARMENT KNITTING CO. LTD,GANG TAI GARMENT KNITTING CO. LTD,NA,"LU WU LI ZHI YUAN VILLAGE, CHANGPING TOWN, ,",NA,NA,8/29/08,"lu wu li zhi yuan village, changping town, ,",gang tai garment knitting co. ltd,gang tai garment knitting co. ltd,NA,NA,NA,NA,NA,changping,luwulizhiyuan,NA,gang tai garment knitting,gangtai,东莞港泰针织制衣有限公司,卢屋,4.42e+11,T,
HAKAKN,2009,"HAIYAN KAIDA KNITTING APPAREL CO., LTD.","HAIYAN KAIDA KNITTING APPAREL CO., LTD.",NA,"NO.188, XINQIAO NORTH ROAD, , ,",NA,NA,12/17/08,"no.188, xinqiao north road, , ,","haiyan kaida knitting apparel co., ltd.","haiyan kaida knitting apparel co., ltd.",NA,NA,NA,188,NA,NA,NA,xinqiao,haiyan kaida knitting apparel,haiyankaida,海盐凯达针织服饰有限公司,新桥北路188号,3.3e+11,T,
HASYAY,2009,"YAYAO GELANG HARDWARE INDUSTRIAL CO., LTD.","YAYAO GELANG HARDWARE INDUSTRIAL CO., LTD.",NA,"GELANG VILLAGE, YAYAO TOWN, ,",NA,NA,10/12/00,"gelang village, yayao town, ,","yayao gelang hardware industrial co., ltd.","yayao gelang hardware industrial co., ltd.",NA,NA,NA,NA,NA,yayao,gelang,NA,yayao gelang hardware,yayaogelang,鹤山市雅瑶隔朗五金实业有限公司,隔朗,4.41e+11,T,
HAYACO,2009,HAIYAN YANGYANG GARMENT CO LTD,NA,NA,NA,NA,NA,NA,NA,haiyan yangyang garment co ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,haiyan yangyang garment,haiyanyangyang,海盐洋洋服饰有限公司,海昌路1号,3.3e+11,L,
HAYAYA,2009,"HAI YAN HONG YANG CLOTHING CO.,LTD","HAI YAN HONG YANG CLOTHING CO.,LTD",NA,"XICHANG CROSS, HANGZHOU BAY BRIDGE NEW ZONE, HANYAN TECHNICAL ECONOMIC DEVELOPMENT AREA, ,",NA,NA,2003-12-09,"xichang cross, hangzhou bay bridge new zone, hanyan technical economic development area, ,","hai yan hong yang clothing co.,ltd","hai yan hong yang clothing co.,ltd",NA,NA,NA,NA,NA,NA,NA,NA,hai yan hong yang clothing,haiyanhongyang,海盐宏扬制衣有限公司,海盐经济开发区杭州湾大桥新区西,3.3e+11,T,
HENPOR,2009,"HENGCHUANG PORCELAIN CO.,LTD.",NA,NA,NA,NA,NA,NA,NA,"hengchuang porcelain co.,ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,hengchuang porcelain,hengchuang,潮州市恒创陶瓷有限公司,外环北路凤新工业区,4.45e+11,L,
HONGXU,2009,"JINGJIANG HONGXUN GARMENTS CO., LTD","JINGJIANG HONGXUN GARMENTS CO., LTD",NA,"NO. 88 ZHONGZHOU ROAD, , ,",NA,NA,2004-10-08,"no. 88 zhongzhou road, , ,","jingjiang hongxun garments co., ltd","jingjiang hongxun garments co., ltd",NA,NA,NA,88,NA,NA,NA,zhongzhou,jingjiang hongxun garments,jingjianghongxun,靖江鸿讯服饰有限公司,生祠地藏村,3.21e+11,L,
HUIGAN,2009,"HUIAN GANGYI KNITTING CO., LTD","HUIAN GANGYI KNITTING CO., LTD",NA,"NO. 0001, DONG GUAN STREET, LUO CHENG TOWN, HUIAN, ,",NA,NA,2/16/04,"no. 0001, dong guan street, luo cheng town, huian, ,","huian gangyi knitting co., ltd","huian gangyi knitting co., ltd",NA,NA,NA,1,NA,luo cheng,NA,dongguan,huian gangyi knitting,huiangangyi,惠安港益针织有限公司,东关,3.51e+11,T,
HUIRON,2009,"HUI YANG GUAN RONG FURNITURE CO., LTD.","HUI YANG GUAN RONG FURNITURE CO., LTD.",-,"HONG TIAN VILLAGE, XIN XU TOWN, HUI YANG DISTRICT, ,",NA,NA,10/30/06,"hong tian village, xin xu town, hui yang district, ,","hui yang guan rong furniture co., ltd.","hui yang guan rong furniture co., ltd.",NA,NA,NA,NA,NA,xin xu,hongtian,NA,hui yang guan rong furniture,huiyangguanrong,惠阳冠荣家俱有限公司,红田,4.41e+11,T,
JINBAC,2009,JIN MEI BACUI KNITWEAR FACTORY,NA,NA,NA,sweater,470,NA,NA,jin mei bacui knitwear factory,NA,NA,NA,NA,NA,NA,NA,NA,NA,jin mei bacui knitwear,jinmeibacui,东莞常平金美拔萃针织厂,金美村平凳,4.42e+11,L,
JINCER,2009,"JINDE CERAMICS CO.,LTD.",RAOPING JINDE CERAMICS CO. LTD.,NA,"LICUO VILLAGE, QIANDONG TOWN, RAO PING COUNTY,",NA,NA,8/19/04,"licuo village, qiandong town, rao ping county,","jinde ceramics co.,ltd.",raoping jinde ceramics co. ltd.,NA,NA,NA,NA,NA,qiandong,licuo,NA,jinde ceramics,jinde,饶平县金德陶瓷有限公司,李厝,"4.42e+11,3.5e+11,4.45e+11,4.45e+11",T,
JINHUI,2009,JING HUI KNITTING FACTORY,JING HUI KNITTING FACTORY,NA,"XIANG WEI INDUSTRIAL ZONE, GUANGLIQU, DA LANG TOWN,",NA,NA,2004-09-03,"xiang wei industrial zone, guangliqu, da lang town,",jing hui knitting factory,jing hui knitting factory,NA,NA,NA,NA,xiangwei,da lang,NA,NA,jing hui knitting,jinghui,东莞市晶晖针织有限公司,育民六路,4.42e+11,T,
JIQIHU,2009,JIN QIU HUA GARMENT INDUSTRY CO LTD.,JIN QIU HUA GARMENT INDUSTRY CO LTD.,NA,"NO. 6, DEVELOPMENT ZONE BAISHI VILLAGE, XINTANG TOWN., ZHENGCHENG",NA,NA,8/31/09,"no. 6, development zone baishi village, xintang town., zhengcheng",jin qiu hua garment industry co ltd.,jin qiu hua garment industry co ltd.,NA,NA,NA,6,NA,xintang,developmentzonebaishi,NA,jin qiu hua garment,jinqiuhua,增城市金秋华服装有限公司,新塘冚厂房A2幢,4.4e+11,T,Typo in English
JISLEA,2009,"JISHENG LEATHER INDUSTRY CO., LTD.","JISHENG LEATHER INDUSTRY CO., LTD.",NA,"DANTU DISTRICT, GAOQIAO TOWN, , ,",NA,NA,5/21/07,"dantu district, gaoqiao town, , ,","jisheng leather industry co., ltd.","jisheng leather industry co., ltd.",NA,NA,NA,NA,NA,gaoqiao,NA,NA,jisheng leather,jisheng,镇江吉盛皮业有限公司,镇江市丹徒区高桥镇,3.21e+11,T,
JUNCHE,2009,JUN CHENG PLASTIC ELECTRONIC TOYS CO. LTD.,JUN CHENG PLASTIC ELECTRONIC TOYS CO. LTD.,-,"YA GANG INDUSTRIAL ZONE, SAN XIANG TOWN, ,",NA,NA,9/14/06,"ya gang industrial zone, san xiang town, ,",jun cheng plastic electronic toys co. ltd.,jun cheng plastic electronic toys co. ltd.,NA,NA,NA,NA,yagang,san xiang,NA,NA,jun cheng plastic electronic toys,juncheng,中山骏成塑胶电子玩具有限公司,鸦岗村西边岭,4.42E+11,T,
LINNAN,2009,LING NAN KITCHENWARE MFG. LTD,NA,NA,NA,NA,NA,NA,NA,ling nan kitchenware mfg. ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,ling nan kitchenware,lingnan,辽宁岭南厨房设备有限公司,四台子,2.1e+11,L,
LONJIN,2009,"LONGHAI JINGYI FURNITURE CO.,LTD.","LONGHAI JINGYI FURNITURE CO.,LTD.",-,"JIUHU TOWN,LONGHAI, , ,",NA,NA,2012-10-07,"jiuhu town,longhai, , ,","longhai jingyi furniture co.,ltd.","longhai jingyi furniture co.,ltd.",NA,NA,NA,NA,NA,jiuhu,NA,NA,longhai jingyi furniture,longhaijingyi,龙海精艺家具有限公司,龙海市九湖镇田墘村,3.51e+11,T,
PINSHI,2009,"PINGHU SHI LONGYUE GARMENTS CO., LTD","PINGHU SHI LONGYUE GARMENTS CO., LTD",NA,"LINDAI TOWN INDUSTRIAL PARK, OF LINDAI TOWN, ZHAPU, ,",NA,NA,2005-07-07,"lindai town industrial park, of lindai town, zhapu, ,","pinghu shi longyue garments co., ltd","pinghu shi longyue garments co., ltd",NA,NA,NA,NA,lindaitown,"c(""lindai "", ""of lindai "")",NA,NA,pinghu shi longyue garments,pinghushilongyue,平湖市龙跃制衣有限责任公司,保丰村2组,3.3e+11,T,
RAOLON,2009,"RAOPING LONGXIN HANDICRAFT PORCELAIN CO., LTD. (CHINA - H1)","RAOPING LONGXIN HANDICRAFT PORCELAIN CO., LTD. (CHINA - H1)",-,"XIN IX DR, SHEN HCO MGMT ZONE, QIANDONG TOWN, ,",NA,NA,2010-03-02,"xin ix dr, shen hco mgmt zone, qiandong town, ,","raoping longxin handicraft porcelain co., ltd. (china - h1)","raoping longxin handicraft porcelain co., ltd. (china - h1)",NA,NA,NA,NA,NA,qiandong,NA,NA,raoping longxin handicraft porcelain,raopinglongxin,饶平龙欣工艺陶瓷有限公司,沈厝,4.45e+11,T,Typo in English
RUYULE,2009,"RUN YU LEATHER CO,LTD",NA,NA,NA,NA,NA,NA,NA,"run yu leather co,ltd",NA,NA,NA,NA,NA,NA,NA,NA,NA,run yu leather,runyu,广州润裕皮具有限公司,金狮大道侧,4.4e+11,L,
SHHUCR,2009,SHISHI HUAHUI CRAFTS CO.LTD,SHISHI HUAHUI CRAFTS CO.LTD,NA,"198 COLD AVENUE,YONGCHUN,SHISHI, , ,",NA,NA,10/29/07,"198 cold avenue,yongchun,shishi, , ,",shishi huahui crafts co.ltd,shishi huahui crafts co.ltd,NA,NA,NA,198,NA,NA,NA,cold,shishi huahui crafts,shishihuahui,石狮市华辉工艺精品有限公司,黄金大道,3.51e+11,T,Typo in English
SHTIGA,2009,SHENGZHOU TIANRUN GARMENT CO. LTD,NA,NA,NA,NA,NA,NA,NA,shengzhou tianrun garment co. ltd,NA,NA,NA,NA,NA,NA,NA,NA,NA,shengzhou tianrun garment,tianrun,嵊州市天润制衣有限公司,江三路18号,3.31E+11,L,
SONDAI,2009,"SONG DAI HARDWARES & PLASTICS CO., LTD.","SONG DAI HARDWARES & PLASTICS CO., LTD.",NA,"DAI WU VILLAGE, SI JIAO LOU, LUO YANG TOWN, BOLOU, ,",NA,NA,1/21/09,"dai wu village, si jiao lou, luo yang town, bolou, ,","song dai hardwares & plastics co., ltd.","song dai hardwares & plastics co., ltd.",NA,NA,NA,NA,NA,luo yang,daiwu,NA,song dai hardwares  plastics,songdai,博罗崧岱五金塑料制品有限公司,小金,4.41e+11,T,
TANZHO,2009,"TANCHENG ZHONGXIN ARTS CO.,LTD.","TANCHENG ZHONGXIN ARTS CO.,LTD.",NA,"NO1. WENHUA ROAD HUANGSHAN TOWN, TANCHENG COUNTY, ,",NA,NA,6/25/08,"no1. wenhua road huangshan town, tancheng county, ,","tancheng zhongxin arts co.,ltd.","tancheng zhongxin arts co.,ltd.",NA,NA,NA,1,NA,wenhua road huangshan,NA,wenhua,tancheng zhongxin arts,tanchengzhongxin,郯城中信工艺品有限公司,前黄山,3.71e+11,T,
TASHXI,2009,TAI SHAN XIN CHANG PLASTIC PRODUCTS LTD,TAI SHAN XIN CHANG PLASTIC PRODUCTS LTD,-,"NO.1, XIN CHANG ROAD, BANGANG, , ,",NA,NA,2012-07-04,"no.1, xin chang road, bangang, , ,",tai shan xin chang plastic products ltd,tai shan xin chang plastic products ltd,NA,NA,NA,1,NA,NA,NA,xinchang,tai shan xin chang plastic,taishanxinchang,台山信昌塑料制品有限公司,板岗信昌大道1号,4.41e+11,T,
TOHUKF,2009,TONGLU HUAYI KNITTING FACTORY,TONGLU HUAYI KNITTING FACTORY,NA,"NO.898, TONGQIAN RD, HENGCUN TOWN, TONGLU, , ,",NA,NA,9/25/07,"no.898, tongqian rd, hengcun town, tonglu, , ,",tonglu huayi knitting factory,tonglu huayi knitting factory,NA,NA,NA,898,NA,hengcun,NA,tongqian,tonglu huayi knitting,tongluhuayi,桐庐华艺针织有限公司,桐千路898号,3.3e+11,T,
WATOCO,2009,"WANXINGFA TOYS CO., LTD.","WANXINGFA TOYS CO., LTD.",-,"NO.4 NINTH DISTRICT, ANPING DEVELOPING DISTRICT, ,",NA,NA,2011-05-07,"no.4 ninth district, anping developing district, ,","wanxingfa toys co., ltd.","wanxingfa toys co., ltd.",NA,NA,NA,4,NA,NA,NA,NA,wanxingfa toys,wanxingfa,福建晋江市万兴发玩具有限公司,泉州市安平工业区9区4号,3.51e+11,T,
YONCHU,2009,"YONG CHUN DA YANG PORCELAIN INDUSTRIAL CO., LTD.",NA,NA,NA,NA,NA,NA,NA,"yong chun da yang porcelain industrial co., ltd.",NA,NA,NA,NA,NA,NA,NA,NA,NA,yong chun da yang porcelain,yongchundayang,永春大阳瓷业有限公司,留安,3.51e+11,L,
MANDAR,2009,SHANGHAI MANDARIN FASHION LIMITED,SHANGHAI MANDARIN FASHION LIMITED,NA,"NO. 1, LANE 4501, HU QING PING ROAD, QING PU QU, SHANGHAI, CHINA, ,",NA,NA,2011-10-09,"no. 1, lane 4501, hu qing ping road, qing pu qu, shanghai, china, ,",shanghai mandarin fashion limited,shanghai mandarin fashion limited,shanghai,shanghai,qingpu,"c(""1"", ""4501"")",NA,NA,NA,huqingping,shanghai mandarin fashion,mandarin,上海曼德琳纺织品时装有限公司,沪青平公路4501弄1号,3.10E+11,T,
SHAOFF,2009,"SHANGHAI GENMES OFFICE PRODUCTS CO., LTD.","SHANGHAI GENMES OFFICE PRODUCTS CO., LTD.",NA,"NO130,SONGSHAN VILLAGE, MINGXING INDUSTRY SECTION, HUAXIN TOWN,QINGPU,",NA,NA,4/19/07,"no130,songshan village, mingxing industry section, huaxin town,qingpu,","shanghai genmes office products co., ltd.","shanghai genmes office products co., ltd.",shanghai,shanghai,qingpu,130,NA,huaxin,songshan,NA,shanghai genmes office,genmesoffice,上海坚明办公用品有限公司,青浦区华新镇嵩山村130号,3.1e+11,T,
SHASCH,2009,"SHANGHAI YUANLI SCHOOL SUPPLIES CO., LTD","SHANGHAI YUANLI SCHOOL SUPPLIES CO., LTD",NA,"565 HUIYA ROAD, NANXIANG INDUSTRIAL ZONE, JIADING DISTRICT,SHANGHAI CHINA,",NA,NA,9/28/09,"565 huiya road, nanxiang industrial zone, jiading district,shanghai china,","shanghai yuanli school supplies co., ltd","shanghai yuanli school supplies co., ltd",shanghai,shanghai,jiading,565,nanxiang,NA,NA,huiya,shanghai yuanli school supplies,yuanlischool,上海远立文教用品有限公司,南翔镇嘉好路263号,3.10E+11,L,
SHJOFA,2009,"SHANGHAI JOY PLUS FASHION CO.,LTD","SHANGHAI JOY PLUS FASHION CO.,LTD",NA,"No. 7-9, Dong Xing Road, Song Jiang District, Shanghai., ,","Jacket, shirts, skirts",487,3/16/06,"no. 7-9, dong xing road, song jiang district, shanghai., ,","shanghai joy plus fashion co.,ltd","shanghai joy plus fashion co.,ltd",shanghai,shanghai,songjiang,"c(""7"", ""9"")",NA,NA,NA,dongxing,shanghai joy plus fashion,joyplus,上海乔佩斯时装有限公司,上海市松江区东兴路9号,3.1e+11,T,
AMERCG,2009,YANGZHOU AMERIHUA CRAFT GIFTS COMPANY LIMITED,YANGZHOU AMERIHUA CRAFT GIFTS COMPANY LIMITED,NA,"NO. 55 GUANBEIBEI ROAD, XIAOGUANZHUANG TOWNSHIP, BAOYING COUNTY, ,",NA,NA,7/17/07,"no. 55 guanbeibei road, xiaoguanzhuang township, baoying county, ,",yangzhou amerihua craft gifts company limited,yangzhou amerihua craft gifts company limited,jiangsu,yangzhou,baoying,55,NA,xiaoguanzhuang,NA,guanbeibei,yangzhou amerihua craft gifts,amerihua,扬州美瑞华工艺礼品有限公司,宝应县小官庄镇工业园区,3.21023E+11,T,
DNGSZH,2009,"WUJIANG ENNO FASHION CO., LIMITED","WUJIANG ENNO FASHION CO., LIMITED",NA,"NO.1539 YUNLI ROAD, WUJIANG CITY,SUZHOU,JIANGSU PROVINCE, ,",NA,NA,7/14/00,"no.1539 yunli road, wujiang city,suzhou,jiangsu province, ,","wujiang enno fashion co., limited","wujiang enno fashion co., limited",jiangsu,suzhou,wujiang,1539,NA,NA,NA,yunli,wujiang enno fashion,enno,吴江英诺时装有限公司,云梨路,3.21E+11,T,
JISALA,2009,"JIANGSU SAINTY LANDUP GARMENTS CO., LTD","JIANGSU SAINTY LANDUP GARMENTS CO., LTD",NA,"17 LIANTANG INDUSTRIAL AREA, JURONG, , ,",NA,NA,4/16/09,"17 liantang industrial area, jurong, , ,","jiangsu sainty landup garments co., ltd","jiangsu sainty landup garments co., ltd",jiangsu,zhenjiang,jurong,17,liantang,NA,NA,NA,jiangsu sainty landup garments,saintylandup,江苏舜天信兴制衣有限公司,莲塘工业集中区17号,3.21E+11,T,
LIYPEN,2009,"LIYANG PENDA GARMENT CO., LTD.","LIYANG PENDA GARMENT CO., LTD.",NA,"THE WEST OF TONGXIANGLI VILLAGE, LICHENG TOWN, LIYANG CITY, JIANGSU, CHINA",NA,NA,8/20/09,"the west of tongxiangli village, licheng town, liyang city, jiangsu, china","liyang penda garment co., ltd.","liyang penda garment co., ltd.",jiangsu,changzhou,liyang,NA,NA,licheng,thewestoftongxiangli,NA,liyang penda garment,penda,溧阳朋达服饰有限公司,溧城镇同巷里,3.20E+11,T,
YANOCE,2009,YANGZHOU OCEANIC GARMENT FACTORY,YANGZHOU OCEANIC GARMENT FACTORY,NA,"Daqiao Town Industrial Zone, Jiangdu City, Jiangsu Province, China,",NA,NA,2003-11-08,"daqiao town industrial zone, jiangdu city, jiangsu province, china,",yangzhou oceanic garment factory,yangzhou oceanic garment factory,jiangsu,yangzhou,jiangdu,NA,daqiaotown,daqiao,NA,NA,yangzhou oceanic garment,oceanic,扬州海汇制衣有限公司,江都市大桥工业园区,3.21E+11,T,
CHACRE,2009,"CHANGZHOU CHINA CREATION KNITTING GARMENTS CO.,LTD.","CHANGZHOU CHINA CREATION KNITTING GARMENTS CO.,LTD.",NA,"79# NORTH QINGYANG RD, , ,",NA,NA,5/25/05,"79# north qingyang rd, , ,","changzhou china creation knitting garments co.,ltd.","changzhou china creation knitting garments co.,ltd.",zhejiang,changzhou,NA,79,NA,NA,NA,qingyang,changzhou  creation knitting garments,creation,常州华锦针织服装有限公司,青洋北路79号,3.20E+11,T,
CHAQIU,2009,"CHANGZHOU QIU TIAN BAO GARMENT CO.,LTD","CHANGZHOU QIU TIAN BAO GARMENT CO.,LTD",NA,"NO.555 LAODONG EASTER ROAD, , ,",Children's wear (cut & sew knit),859,2004-10-09,"no.555 laodong easter road, , ,","changzhou qiu tian bao garment co.,ltd","changzhou qiu tian bao garment co.,ltd",zhejiang,changzhou,NA,555,NA,NA,NA,laodong,changzhou qiu tian bao garment,qiutianbao,常州市裘天宝服装有限公司,常州市劳动东路555号,3.20E+11,T,
CONNIN,2009,"CONDA (NINGBO) ART MATERIAL MANUFACTURING CO., LTD","CONDA (NINGBO) ART MATERIAL MANUFACTURING CO., LTD",NA,"HUANGHAI ROAD, DAGANG INDUSTRIAL CITY, NINGBO ECONOMIC AND TECHNICAL DEVELOPMENT ZONE,",NA,NA,2006-12-06,"huanghai road, dagang industrial city, ningbo economic and technical development zone,","conda (ningbo) art material manufacturing co., ltd","conda (ningbo) art material manufacturing co., ltd",zhejiang,ningbo,NA,NA,dagang,NA,NA,huanghai,conda  art material,conda,康大（宁波）绘画材料制造有限公司,黄海路58号,3.30E+11,T,
HUZUNI,2009,"HUZHOU UNIVERSAL SILK GARMENTS CO., LTD","HUZHOU UNIVERSAL SILK GARMENTS CO., LTD",NA,"Gongnong Road, Xiaoshu, Meixi Town, Anji County, , ,",Silk Garment,530,1/27/05,"gongnong road, xiaoshu, meixi town, anji county, , ,","huzhou universal silk garments co., ltd","huzhou universal silk garments co., ltd",zhejiang,huzhou,anji,NA,NA,meixi,NA,gongnong,huzhou universal silk garments,universal,湖州宇宙丝绸服饰有限公司,晓墅工农路,3.31e+11,T,
NINYOP,2009,"NINGBO YOUNG TOP GARMENTS CO.,LTD","NINGBO YOUNG TOP GARMENTS CO.,LTD",NA,"NO66-68,DAN XIA RD,XIANG SHAN IND DEV'T ZONE, XIANGSHAN COUNTRY, ,",NA,NA,1/24/05,"no66-68,dan xia rd,xiang shan ind dev't zone, xiangshan country, ,","ningbo young top garments co.,ltd","ningbo young top garments co.,ltd",zhejiang,ningbo,xiangshan,"c(""66"", ""68"")",NA,NA,NA,danxia,ningbo young top garments,youngtop,宁波创裕制衣有限公司,工业示范园区丹霞路66-68,3.3e+11,T,
TATIGA,2009,TAIZHOU TIANTAI GARMENTS FACTORY,TAIZHOU TIANTAI GARMENTS FACTORY,NA,"NO.235, YANGZHOU ROAD, , ,",NA,NA,10/21/04,"no.235, yangzhou road, , ,",taizhou tiantai garments factory,taizhou tiantai garments factory,zhejiang,taizhou,tiantai,235,NA,NA,NA,yangzhou,taizhou tiantai garments,tiantai,泰州市天泰制衣厂,扬州路235号,3.21e+11,T,
